renovation_type,bedrooms_to_reno,bathrooms_to_reno,sqft_renovated,sqft_to_add,material_grade,structural_changes,property_size,location,renovation_cost,pre_renovation_cost,post_renovation_description
"[""Bedroom"", ""Living room""]",1,0,"{""bedrooms"": [119], ""bathrooms"": [], ""other"": {""Living room"": 266}}","{""bedrooms"": [61], ""bathrooms"": [], ""other"": {""Living room"": 276}}","{""bedrooms"": [""Mid-range""], ""bathrooms"": [], ""other"": {""Living room"": ""High-end""}}","[""Yes"", ""Yes""]",1445,Wigan,63804.83,278048.9,"As you approach this semi-detached house, the carefully tended front garden sets the scene for a well-considered living space.

Inside, the layout is straightforward with each room situated to make the most of the available space. A compact kitchen is separated from a spacious dining area by a doorway, and a living room is located off the dining space via a short hallway. Windows in the living room and kitchen provide an adequate amount of natural light. The hallway connects to a comfortable, neutrally decorated bedroom, with its own window and door.

Throughout the house, a cohesive presentation has been achieved through a consistent colour palette and functional fixtures. The arrangement of furniture and other objects within each room allows for a clear path through the space, facilitating ease of movement and relaxation."
"[""Full renovation""]",5,3,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": 920}}","{""bedrooms"": [0, 0, 0, 0, 0], ""bathrooms"": [0, 0, 0], ""other"": {""Full renovation"": 217}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": ""Budget-friendly""}}","[""Yes""]",1042,Stretford,215806.22,233317.73,"Slightly offsetting the main living area from the adjacent ground-floor space creates a sense of separation and visual balance throughout the home.

The central kitchen, with its purposeful layout and evenly spaced cabinetry, occupies the focal point of the ground floor. Dark-stained units and clean white countertops create a harmonious contrast, while subtle undertones in the backsplash add depth to the space. Expansive wall-mounted storage units ensure that clutter remains invisible.

A deliberate shift in floor level and judicious use of transitions connect the ground-floor spaces to the upper floor, where distinct sleeping and bathing areas are arranged in a considered sequence. Coherent finishes and carefully scaled joinery throughout create a sense of cohesion, while subtle differences between each space add visual interest."
"[""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 308}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 319}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly""}}","[""Yes""]",930,Bury,27052.12,208309.87,"The living spaces are arranged in a clear and practical layout.

The living room is a comfortable space with a fixed oak kitchen unit and a gas fire. The furniture and decor are modest, with a simple three-seater sofa and a pair of armchairs. The room is painted a light grey colour and has a wooden floor. The adjacent dining area has a small table and four chairs.

The property presents well overall, with a sense of order and coherence. The entrance hall has a coat hook and a meter cupboard. The stairs lead up to the sleeping and bathing spaces."
"[""Living room"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 239, ""Kitchen"": 320}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 38, ""Kitchen"": 91}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""High-end"", ""Kitchen"": ""Budget-friendly""}}","[""Yes"", ""Yes""]",1649,Stretford,80356.15,366378.19,"A tranquil facade with neatly tended borders sets the tone for this well-presented home. A simple yet thoughtful layout divides the living and sleeping spaces into distinct areas, promoting a sense of calm throughout the property. Strategically placed windows allow for a gentle influx of natural light, while the subtle curves of the staircase create a sense of flow as you move through the house.

The kitchen has been thoughtfully arranged to maximize counter space, with a compact layout that encourages efficient meal preparation. A separate dining area provides an alternative space for informal meals or breakfast, situated at a convenient distance from the main living space. This consideration of function and flow is evident throughout the kitchen, where a functional island and a selection of built-in cupboards provide ample storage for cookware and essentials.

The general presentation of the home is one of understated coherence, where each space has been carefully considered to create a sense of balance and harmony. A well-coordinated colour palette and carefully selected furniture pieces enhance the overall aesthetic, resulting in a welcoming and inviting atmosphere that encourages relaxation and social interaction."
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 238}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 100}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range""}}","[""Yes""]",759,Prestwich,22945.53,227921.85,"As you make your way through the ground-floor layout, the deliberate placement of doors and hallways creates a sense of flow, guiding you from the entrance into the heart of the home.

The kitchen, at the rear of the property, is a well-considered space that effectively balances work and storage areas with a central island. The countertop, comprising stainless steel and laminate, provides ample space for food preparation, while a well-placed sink and refrigerator optimise the available floor area. A selection of wall-mounted units, in a neutral finish, maintain the space's openness, while a pendant light above the island adds a touch of visual cohesion.

Moving upstairs, the property's overall presentation is noteworthy for its straightforward use of space. A hallway connects the sleeping areas, with each room benefiting from a proportional allocation of room height and floor space. The bathing facilities, situated at the end of the hallway, comprise a straightforward, self-contained unit that maintains a sense of consistency throughout the property."
"[""Bathroom"", ""Kitchen""]",0,1,"{""bedrooms"": [], ""bathrooms"": [53], ""other"": {""Kitchen"": 190}}","{""bedrooms"": [], ""bathrooms"": [113], ""other"": {""Kitchen"": 338}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range""], ""other"": {""Kitchen"": ""High-end""}}","[""Yes"", ""Yes""]",1381,Stockport,71269.03,283536.71,"In a thoughtful spatial arrangement, a well-defined corridor leads to a generously proportioned lounge, where the focused attention on minimal décor encourages a sense of calm and poise. A neatly positioned console table receives the front door and a stylish storage cupboard to one side. Off this central hub, two doors open to sleeping areas, each quietly contained within its own space.

Moving towards the rear of the property, the well-appointed bathroom comes into view. Its configuration and use of storage space contribute to an efficient and streamlined feel. A central position for the sink creates a visual balance between the bath and the WC. The level of detail and finish suggests a focus on functionality and clean design. 

Throughout the property, careful consideration has been given to the presentation and layout, resulting in an overall sense of coherence and restraint. This thoughtful approach creates an inviting atmosphere that is ready to be made your own."
"[""Bathroom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [100], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [63], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly""], ""other"": {}}","[""Yes""]",563,Salford,18680.71,155343.03,"Everyday items are thoughtfully stored in the built-in shelving units and clutter is kept to a minimum, creating a sense of order throughout the interior. The accommodation consists of a living area, two sleeping spaces, and a bathroom, which are efficiently arranged around a central circulation route.

The bathroom has been improved with a modern suite, including a white three-piece bathroom set and a wall-mounted toilet. The walls have been painted a crisp white, and a new, low-maintenance laminate floor has been installed. The overall effect is one of clarity and simplicity.

The internal layout is straightforward and functional, with each room linked to the next by a simple yet intuitive circulation pattern. The use of the limited space is generally well-judged, with no unnecessary complexity or clutter. The property presents well and is ready for occupation."
"[""Living room"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 262, ""Kitchen"": 124}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 70, ""Kitchen"": 313}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly"", ""Kitchen"": ""Mid-range""}}","[""No"", ""Yes""]",1184,Bury,57490.64,236332.02,"The rooms in this home are laid out in a clear and functional way, with a clear pathway through the property that makes navigating the space straightforward. 

The living room is a well-proportioned space, with a pair of sliding doors leading out to a shared hallway. A period-style fireplace sits at one end of the room, its black surround complementing the grey walls and providing a subtle focal point. The room's proportions and layout make it feel calm and serene, even with the furniture placed in the room.

The kitchen has a simple yet effective design, with a compact work surface and a corresponding sink and stove unit. A kitchen table sits in a small recess by the window, offering a place to sit and eat meals. The kitchen's design is well-considered and focused on efficiency, making it a practical space for everyday use. Overall, the home has a cohesive and well-presented feel, with a clear sense of order and organisation throughout."
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",2,1,"{""bedrooms"": [216, 179], ""bathrooms"": [106], ""other"": {""Other/Custom"": 210}}","{""bedrooms"": [172, 12], ""bathrooms"": [96], ""other"": {""Other/Custom"": 177}}","{""bedrooms"": [""Budget-friendly"", ""Mid-range""], ""bathrooms"": [""High-end""], ""other"": {""Other/Custom"": ""Budget-friendly""}}","[""Yes"", ""No"", ""Yes"", ""No""]",1463,Stockport,112798.34,316562.44,"Three distinct spaces unfold across the floor plan, with each room defined by its purpose and a clear separation of functions. The master bedroom is a self-contained zone, its proportions calculated to provide ample space for a bed, a dresser, and a reading nook. The bespoke storage units and built-in wardrobes frame the area, subtly guiding the eye towards the seamless transition to the adjacent bathroom.

In the bathroom, modern fixtures and bespoke tile work create a sense of cohesion. A double sink and a free-standing bath dominate the space, while a sleek glass screen allows for a direct visual connection to the surrounding tiling. The underfloor heating and carefully calibrated ventilation ensure a consistent atmosphere, heightening the sense of comfort.

Moving through the property, a deliberate balance between structure and openness becomes apparent. Each space, while individually refined, contributes to a cohesive whole, one that rewards quiet contemplation and consideration. The result is a home that showcases a thoughtful approach to living space – one that is at once grounded and open to possibility."
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",1,3,"{""bedrooms"": [173], ""bathrooms"": [116, 83, 39], ""other"": {""Other/Custom"": 145}}","{""bedrooms"": [210], ""bathrooms"": [31, 78, 38], ""other"": {""Other/Custom"": 18}}","{""bedrooms"": [""Mid-range""], ""bathrooms"": [""Budget-friendly"", ""High-end"", ""Mid-range""], ""other"": {""Other/Custom"": ""High-end""}}","[""Yes"", ""No"", ""Yes"", ""Yes"", ""Yes""]",1272,Chorlton,141391.55,332138.89,"A calm and ordered atmosphere pervades the interior of this compact dwelling.

The ground-floor living area is neatly laid out, with a well-defined space for the sofa and adjacent TV stand, creating a functional separation between lounge and the adjacent dining table. A pair of long, narrow windows on the southern elevation filters soft morning sunlight into the room. The remainder of the room's perimeter is largely dominated by the open-plan kitchen, with a sink and a four-burner cooker.

Moving upstairs, the first bedroom is a notably well-furnished space, boasting a neatly made single bed and a built-in wardrobe with sliding doors. It is a private retreat, free from disturbance by the surrounding rooms. Nearby, the family bathroom has a functional layout with a three-quarter-length mirror on one wall and a pedestal sink in front of it."
